date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:26	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia.11f4.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:26	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/press_center	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/press_center.11f5.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:26	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/career	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/career.11f6.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:26	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/drivingchange	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/drivingchange.11f7.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2017:58:27%20GMT	http://www.dpd.com/sk_en/home/cashapp	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/cashapp.11f8.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:29	22111/22111	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:26%20GMT	https://www.dpd.com/sk_en/business_customers/products_services/options/international_shipping	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/business_customers/products_services/options/international_shipping.html	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:29	233/233	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Oct%202019%2017:58:29%20GMT	http://www.dpd.com/sk_en/home	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:29	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/o_dpd/infocentrum/na_stiahnutie	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/o_dpd/infocentrum/na_stiahnutie.11fa.delayed	(from https://www.dpd.com/sk_en/business_customers/produkty_a_sluzby/moznosti/vnutrostatna_preprava/predict)
18:58:30	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/contact	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/contact.11fc.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	27421/27421	---MCZ	200	added ('OK')	text/html	date:Mon,%2014%20Oct%202019%2017:58:30%20GMT	http://www.dpd.com/sk/business_customers/products_services/classic_services	C:/My%20Web%20Sites/courier/www.dpd.com/sk/business_customers/products_services/classic_services.html	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/options	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/options.11fe.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	0/-1	---M--	301	error ('')			https://www.dpd.com/sk_en/home/produkty_a_sluzby/solutions	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/produkty_a_sluzby/solutions.11ff.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company.1200.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/the_company/dpd_in_slovakia.1201.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
18:58:33	0/-1	---M--	301	error ('')			http://www.dpd.com/sk_en/home/about_dpd/press_center	C:/My%20Web%20Sites/courier/www.dpd.com/sk_en/home/about_dpd/press_center.1202.delayed	(from http://www.dpd.com/sk_en/business_customers/products_services/classic_services)
